Name,Share Price,EPS 2013,Dividend 2013,EPS 2014,Dividend 2014,EPS 2015,Dividend 2015,EPS 2016,Dividend 2016,EPS 2017,Dividend 2017,EPS 2018,Dividend 2018,EPS 2019,Dividend 2019,EPS 2020,Dividend 2020,EPS 2009,Dividend 2009,EPS 2010,Dividend 2010,EPS 2011,Dividend 2011
"DEUTZ Aktie�
","5,06EUR
","0,30","0,07","0,18","0,07","0,04","0,07","0,14","0,07","1,00","0,15","0,58","0,15","0,43","0,00",,,,,,,,
"CANCOM Aktie�
","44,08EUR
","0,61","0,20","0,43","0,25","0,88","0,25","1,03","0,25","1,19","0,50","1,21","0,50","1,04","0,50",,,,,,,,
"ZEAL Network Aktie�
","44,85EUR
","1,23","0,00","0,63","0,00","0,16","2,80","3,09","2,80","2,05","1,00","3,19","1,00","0,09","0,80",,,,,,,,
"JENOPTIK Aktie�
","24,82EUR
","0,82","0,20","0,73","0,20","0,87","0,22","1,00","0,25","1,27","0,30","1,53","0,35","1,18","0,13",,,,,,,,
"Dermapharm Aktie�
","55,46EUR
",,,"0,00",-,"0,24",-,"0,31",-,"1,44",-,"1,41","0,77","1,43","0,80",,,,,,,,
"HORNBACH Baumarkt Aktie�
","37,90EUR
",,,"1,77","0,60","2,19","0,60","2,28","0,68","1,66","0,68","1,84","0,68","1,29","0,68","2,47","0,68",,,,,,
"Continental Aktie�
","121,90EUR
","9,62","2,50","11,88","3,25","13,64","3,75","14,01","4,25","14,92","4,50","14,49","4,75","-6,13","3,00",,,,,,,,
"Uniper Aktie�
","27,88EUR
","-3,21",-,"-6,97",-,"-11,16",-,"-8,79","0,55","-1,79","0,74","-1,24","0,90","1,67","1,15",,,,,,,,
"PUMA Aktie�
","90,64EUR
","0,04","0,05","0,43","0,05","0,25","0,05","0,42","0,07","0,91","1,25","1,25","0,35","1,75","0,00",,,,,,,,
"Befesa Aktie�
","49,40EUR
",,,"0,50",-,"-0,98",-,"-2,47",-,"1,79","0,73","2,65","1,32","2,43","0,44",,,,,,,,
"Zalando Aktie�
","88,94EUR
","-0,53",-,"0,21","0,00","0,49","0,00","0,49","0,00","0,42","0,00","0,21","0,00","0,40","0,00",,,,,,,,
"BASF Aktie�
","64,74EUR
","5,27","2,70","5,61","2,80","4,34","2,90","4,42","3,00","6,62","3,10","5,12","3,20","2,98","3,30",,,,,,,,
"Gerresheimer Aktie�
","87,00EUR
","1,98","0,70","2,11","0,75","3,32","0,85","3,87","1,05","3,21","1,10","4,11","1,15","2,57","1,20",,,,,,,,
"Infineon Aktie�
","31,31EUR
",,,"0,48","0,18","0,56","0,20","0,66","0,22","0,70","0,25","0,95","0,27","0,75","0,27","0,26","0,22",,,,,,
"Nordex Aktie�
","21,30EUR
","0,14","0,00","0,48","0,00","0,65","0,00","1,03","0,00","0,00","0,00","-0,86","0,00","-0,73","0,00",,,,,,,,
"HORNBACH Aktie�
","82,40EUR
",,,"4,55","0,80","5,64","0,80","5,04","1,50","4,84","1,50","5,12","1,50","4,09","1,50","6,57","1,50",,,,,,
"zooplus Aktie�
","166,20EUR
","0,29","0,00","0,83","0,00","1,13","0,00","1,63","0,00","0,27","0,00","-0,29","0,00","-1,69","0,00",,,,,,,,
"freenet Aktie�
","17,10EUR
","1,87","1,45","1,93","1,50","1,73","1,55","1,78","1,60","2,24","1,65","1,74","1,65","1,49","0,04",,,,,,,,
"Fielmann Aktie�
","64,85EUR
","1,65","1,45","1,87","1,60","1,97","1,75","1,98","1,80","2,00","1,85","2,01","1,90","2,05","0,00",,,,,,,,
"New Work Aktie�
","277,50EUR
","1,65","0,62","1,11","0,92","3,15","1,03","4,19","1,37","4,61","1,68","5,51","2,14","6,13","2,59",,,,,,,,
"SMA Solar Aktie�
","55,50EUR
","-1,92","0,00","-5,16","0,00","0,41","0,14","0,85","0,26","0,87","0,35","-5,06","0,00","-0,25","0,00",,,,,,,,
"CEWE Stiftung Aktie�
","92,00EUR
","3,29","1,50","3,07","1,55","3,24","1,60","4,25","1,80","4,70","1,85","5,06","1,95","4,41","2,00",,,,,,,,
